text,emotion
I am very happy today,happy
I feel sad and lonely,sad
I am extremely angry,anger
I am scared of exams,fear
I love learning AI,happy
I feel disappointed,sad
I am excited about my project,happy
I feel nervous before presentation,fear
I am frustrated with coding,anger
I feel confident today,happy
I am depressed,sad
I feel joyful,happy
I am worried about results,fear
I am motivated to study,happy
I feel relaxed,happy
I am stressed,fear
Everything is wonderful,happy
I hate this situation,anger
I am feeling amazing,happy
I don't know what to do,sad
